donation_id,donor_id,donation_date,amount,campaign,payment_method,is_recurring
D102294,DON1095,2025-07-19,168.32,Gala 2025,stock_transfer,False
D101406,DON1318,2025-07-20,289.59,Gala 2026,credit_card,False
D102101,DON1260,2025-03-06,274.16,Spring Appeal,credit_card,False
D100701,DON1129,2024-11-17,384.09,Year-End Giving,credit_card,False
D100813,DON1293,2026-02-09,161.34,Corporate Match,credit_card,False
D100290,DON1047,2026-05-30,364.55,Gala 2025,ach,False
D100219,DON1184,2026-02-05,19011.22,Monthly Giving,stock_transfer,True
D100044,DON1320,2025-01-25,487.79,Gala 2026,check,False
D100720,DON1209,2024-09-17,49.25,Alumni Fund,paypal,False
D101413,DON1214,2024-08-22,273.3,Corporate Match,stock_transfer,False
D101725,DON1365,2025-08-27,401.04,Monthly Giving,stock_transfer,True
D101638,DON1128,2025-06-22,19.5,Monthly Giving,credit_card,False
D101178,DON1250,2025-10-27,415.6,Gala 2025,check,False
D101363,DON1296,2026-06-20,15244.09,Gala 2025,stock_transfer,False
D100213,DON1215,2025-06-26,267.65,Corporate Match,stock_transfer,False
D100681,DON1205,2025-12-20,475.57,Gala 2026,stock_transfer,False
D101883,DON1113,2026-04-23,82.43,Gala 2026,credit_card,False
D100846,DON1304,2025-07-03,421.85,Year-End Giving,credit_card,False
D102052,DON1352,2024-10-24,210.95,Alumni Fund,ach,True
D101814,DON1132,2025-12-15,110.01,Year-End Giving,check,True
D101785,DON1043,2025-06-28,371.34,Year-End Giving,stock_transfer,False
D101226,DON1361,2025-04-03,87.35,Gala 2025,credit_card,False
D101371,DON1301,2026-02-14,97.3,Year-End Giving,check,False
D102374,DON1332,2025-06-09,445.74,Spring Appeal,paypal,False
D101135,DON1315,2026-06-07,15434.97,Gala 2025,credit_card,True
D102004,DON1247,2025-03-10,107.58,Alumni Fund,check,False
D100411,DON1348,2025-03-21,292.19,Corporate Match,stock_transfer,True
D101318,DON1138,2024-09-17,399.4,Monthly Giving,paypal,False
D102196,DON1091,2025-12-07,243.99,Monthly Giving,stock_transfer,True
D100247,DON1283,2026-04-11,234.5,Alumni Fund,credit_card,False
D102263,DON1130,2025-03-15,493.83,Corporate Match,ach,False
D100529,DON1013,2026-06-12,85.5,Gala 2025,paypal,False
D101256,DON1142,2025-04-25,121.44,Year-End Giving,ach,False
D101584,DON1375,2024-10-20,499.58,Year-End Giving,check,False
D102077,DON1148,2025-05-14,145.02,Gala 2025,ach,False
D101499,DON1206,2026-05-28,486.28,Gala 2026,paypal,False
D100297,DON1373,2025-05-24,461.0,Spring Appeal,paypal,False
D102100,DON1232,2025-09-20,265.75,Corporate Match,ach,False
D100369,DON1311,2026-02-22,93.58,Alumni Fund,paypal,False
D101619,DON1097,2025-10-11,47.13,Year-End Giving,check,False
D100283,DON1188,2025-11-02,193.84,Corporate Match,check,False
D102094,DON1264,2024-10-13,423.68,Spring Appeal,credit_card,False
D100545,DON1356,2024-10-19,48.17,Corporate Match,stock_transfer,False
D101188,DON1146,2026-01-16,479.68,Monthly Giving,ach,False
D100319,DON1274,2025-11-16,406.07,Monthly Giving,credit_card,True
D100835,DON1099,2026-01-31,19.69,Gala 2025,check,True
D102259,DON1392,2025-01-10,115.81,Monthly Giving,paypal,False
D102309,DON1238,2026-07-12,68.76,Spring Appeal,stock_transfer,False
D101856,DON1272,2024-10-29,488.95,Spring Appeal,ach,False
D101164,DON1097,2024-09-12,346.27,Alumni Fund,stock_transfer,False
D100496,DON1312,2025-04-13,163.32,Monthly Giving,stock_transfer,False
D100840,DON1141,2024-11-27,496.06,Corporate Match,stock_transfer,False
D101984,DON1278,2025-10-19,361.21,Gala 2025,stock_transfer,False
D101952,DON1016,2025-08-27,378.64,Spring Appeal,credit_card,False
D100094,DON1125,2025-02-10,48.74,Gala 2026,check,True
D102185,DON1268,2025-12-11,285.23,Year-End Giving,paypal,False
D100434,DON1128,2024-12-04,131.11,Spring Appeal,ach,False
D100197,DON1005,2025-03-11,18146.08,Alumni Fund,check,True
D101147,DON1312,2025-01-20,338.96,Monthly Giving,paypal,False
D102329,DON1007,2025-02-01,389.64,Year-End Giving,paypal,False
D100938,DON1042,2025-10-18,217.24,Alumni Fund,paypal,False
D100255,DON1192,2024-10-26,87.9,Gala 2025,stock_transfer,False
D101481,DON1244,2025-04-11,450.09,Gala 2026,ach,False
D101667,DON9281,2026-04-01,196.9,Monthly Giving,ach,True
D101491,DON1096,2026-01-01,248.8,Monthly Giving,paypal,False
D100169,DON1372,2025-12-14,331.19,Corporate Match,credit_card,True
D102060,DON1195,2025-11-16,373.63,Corporate Match,credit_card,False
D101911,DON1373,2025-01-11,60.07,Spring Appeal,stock_transfer,False
D101755,DON1126,2025-08-27,359.58,Year-End Giving,stock_transfer,False
D100174,DON1227,2024-11-13,59.23,Alumni Fund,credit_card,False
D101384,DON1044,2025-08-09,80.88,Gala 2026,paypal,False
D100979,DON1333,2025-05-10,228.11,Spring Appeal,credit_card,True
D101242,DON1144,2024-11-27,422.3,Monthly Giving,ach,False
D100611,DON1051,2025-04-06,107.98,Year-End Giving,credit_card,False
D100602,DON1250,2024-11-05,23522.74,Corporate Match,stock_transfer,False
D102395,DON1249,2024-12-21,318.35,Year-End Giving,stock_transfer,True
D101519,DON1235,2024-10-09,386.62,Year-End Giving,ach,False
D101943,DON1214,2025-03-20,226.57,Corporate Match,ach,False
D100436,DON1382,2024-09-06,134.12,Corporate Match,check,True
D102207,DON1383,2025-09-04,121.43,Alumni Fund,paypal,True
D101872,DON1353,2025-07-10,242.13,Spring Appeal,ach,False
D101100,DON1394,2025-01-27,41.59,Gala 2025,stock_transfer,False
D102020,DON1378,2024-10-01,158.6,Alumni Fund,stock_transfer,False
D101302,DON1294,2025-10-28,391.98,Spring Appeal,stock_transfer,False
D100783,DON1053,2025-05-22,61.65,Corporate Match,credit_card,False
D101941,DON1115,2025-05-29,484.86,Gala 2026,stock_transfer,False
D101682,DON1382,2025-08-17,78.37,Alumni Fund,ach,False
D100176,DON1312,2024-12-12,23.14,Alumni Fund,check,False
D101659,DON1262,2024-12-09,379.54,Gala 2025,check,True
D102498,DON1298,2025-10-30,138.72,Gala 2025,credit_card,False
D102351,DON9377,2025-05-17,88.94,Gala 2026,ach,False
D101851,DON1301,2026-04-18,119.91,Year-End Giving,check,False
D101732,DON1281,2025-07-25,56.99,Corporate Match,paypal,False
D100247,DON1283,2026-04-11,234.5,Alumni Fund,credit_card,False
D101850,DON1148,2026-06-30,218.81,Spring Appeal,paypal,False
D100597,DON1050,2026-02-07,299.61,Alumni Fund,credit_card,True
D100943,DON1057,2025-11-30,100.96,Spring Appeal,ach,False
D102019,DON1036,2025-11-25,245.46,Monthly Giving,ach,False
D100212,DON1126,2026-02-07,442.56,Gala 2026,credit_card,True
D101887,DON1276,2025-11-18,319.11,Monthly Giving,credit_card,False
D102442,DON1205,2025-10-17,309.7,Gala 2025,stock_transfer,False
D100860,DON1215,2025-11-08,439.29,Spring Appeal,paypal,False
D100644,DON1312,2024-12-27,118.85,Alumni Fund,check,True
D102439,DON1228,2026-08-15,459.93,Corporate Match,credit_card,False
D101971,DON1048,2026-03-21,298.61,Alumni Fund,ach,True
D100917,DON1035,2024-10-18,296.67,Gala 2026,stock_transfer,False
D100179,DON1292,2025-11-17,94.66,Gala 2026,credit_card,True
D100112,DON1043,2024-10-18,394.34,Monthly Giving,credit_card,False
D102297,DON1136,2025-01-17,131.43,Year-End Giving,paypal,False
D101254,DON1009,2024-12-15,483.28,Gala 2026,stock_transfer,False
D101929,DON1027,2025-05-26,99.87,Monthly Giving,credit_card,False
D102349,DON1316,2025-07-03,48.75,Corporate Match,stock_transfer,False
D102165,DON1258,2025-01-06,274.04,Gala 2026,stock_transfer,False
D101098,DON1205,2025-02-02,438.34,Corporate Match,credit_card,False
D101591,DON1283,2025-10-10,469.19,Gala 2026,ach,False
D101768,DON1146,2024-11-25,296.95,Gala 2026,paypal,False
D101640,DON1099,2025-09-12,80.11,Alumni Fund,credit_card,False
D102261,DON1264,2025-03-10,243.62,Spring Appeal,credit_card,True
D101963,DON1161,2026-02-16,109.28,Gala 2026,credit_card,False
D101581,DON1322,2025-01-01,19.7,Alumni Fund,paypal,False
D102049,DON1048,2026-01-08,330.34,Corporate Match,stock_transfer,True
D101361,DON1375,2026-04-10,133.76,Gala 2025,stock_transfer,False
D100462,DON1120,2026-08-18,289.54,Monthly Giving,ach,False
D100953,DON1377,2025-08-07,307.31,Gala 2026,stock_transfer,False
D101702,DON1350,2024-12-31,359.78,Alumni Fund,credit_card,True
D101704,DON1363,2026-01-07,321.07,Spring Appeal,paypal,False
D100189,DON1086,2026-04-20,60.42,Monthly Giving,credit_card,False
D101961,DON1290,2025-05-12,386.87,Gala 2025,credit_card,False
D101913,DON1111,2026-02-19,499.73,Spring Appeal,paypal,False
D100867,DON1320,2025-09-25,42.03,Year-End Giving,ach,False
D101846,DON1076,2026-07-19,435.71,Gala 2025,paypal,False
D101739,DON1042,2025-01-29,83.69,Gala 2026,stock_transfer,False
D100863,DON1149,2025-02-07,457.23,Gala 2025,credit_card,False
D100875,DON1385,2026-03-05,182.27,Monthly Giving,credit_card,False
D100519,DON1171,2025-09-10,114.05,Corporate Match,ach,False
D100260,DON1084,2026-05-19,115.02,Year-End Giving,ach,False
D102222,DON1393,2026-03-23,318.18,Gala 2025,credit_card,False
D100811,DON1373,2024-11-13,335.61,Gala 2026,paypal,False
D101072,DON1357,2025-02-26,22.91,Gala 2026,check,True
D102299,DON1235,2026-05-01,343.53,Spring Appeal,credit_card,False
D100603,DON1396,2025-06-11,80.11,Gala 2025,stock_transfer,False
D101395,DON1228,2024-10-11,254.5,Monthly Giving,ach,False
D100234,DON1048,2025-03-23,447.68,Corporate Match,credit_card,False
D101103,DON1110,2025-03-31,476.8,Corporate Match,paypal,False
D100671,DON1367,2025-06-09,451.81,Monthly Giving,credit_card,False
D101193,DON1280,2025-07-07,418.59,Spring Appeal,ach,False
D102383,DON1250,2026-05-07,10417.06,Alumni Fund,ach,True
D100052,DON1057,2025-04-14,215.2,Gala 2026,ach,False
D100522,DON1246,2026-01-28,326.37,Gala 2026,ach,False
D100464,DON1375,2025-05-23,392.26,Alumni Fund,check,False
D101766,DON1085,2025-02-23,374.73,Monthly Giving,check,True
D101000,DON1245,2024-11-09,346.46,Corporate Match,ach,False
D101518,DON1130,2026-01-21,182.67,Year-End Giving,check,False
D101536,DON1088,2026-07-18,328.64,Gala 2025,paypal,False
D102255,DON1269,2025-05-25,455.83,Corporate Match,credit_card,False
D102492,DON1268,2025-11-25,328.77,Gala 2026,check,False
D100097,DON1098,2026-06-02,499.79,Gala 2026,ach,False
D100706,DON1208,2025-09-08,23.58,Alumni Fund,check,False
D101986,DON1146,2026-02-10,258.69,Alumni Fund,credit_card,False
D101062,DON1077,2026-07-04,316.13,Gala 2025,check,False
D102471,DON1306,2024-09-09,203.25,Corporate Match,ach,False
D100614,DON1239,2026-03-06,178.35,Gala 2025,stock_transfer,True
D100651,DON1291,2025-06-05,101.14,Gala 2026,check,False
D101115,DON1084,2025-12-25,424.09,Corporate Match,paypal,False
D100408,DON1265,2025-12-28,248.44,Gala 2025,stock_transfer,False
D100924,DON1099,2026-06-14,469.75,Year-End Giving,credit_card,True
D101378,DON1231,2026-08-17,358.89,Alumni Fund,stock_transfer,False
D101869,DON1342,2026-01-04,86.91,Corporate Match,credit_card,False
D100573,DON1272,2025-06-27,459.68,Corporate Match,check,False
D102065,DON1246,2026-02-15,39.55,Monthly Giving,stock_transfer,True
D101613,DON1005,2026-07-22,177.16,Monthly Giving,credit_card,True
D101719,DON1168,2025-05-19,240.26,Gala 2026,paypal,False
D102346,DON1255,2025-03-06,300.61,Gala 2025,credit_card,False
D100830,DON1363,2026-04-15,491.68,Gala 2025,ach,False
D100508,DON1302,2025-08-18,226.52,Monthly Giving,stock_transfer,True
D101539,DON1156,2025-08-30,439.22,Gala 2026,ach,False
D101379,DON1092,2024-10-13,197.9,Corporate Match,credit_card,True
D100891,DON1146,2025-12-30,266.95,Gala 2026,credit_card,False
D100458,DON1193,2025-12-26,134.5,Gala 2026,paypal,False
D100889,DON1056,2024-09-29,323.11,Gala 2025,credit_card,True
D101509,DON1254,2026-06-10,216.62,Corporate Match,credit_card,False
D101804,DON1271,2025-02-04,309.99,Gala 2026,credit_card,False
D101701,DON1382,2025-11-03,388.51,Spring Appeal,check,True
D100742,DON1362,2026-04-15,448.64,Gala 2026,credit_card,False
D100211,DON1089,2026-01-28,144.74,Gala 2026,ach,True
D100650,DON1303,2024-09-16,210.64,Gala 2025,paypal,True
D100820,DON1153,2026-07-26,212.28,Gala 2025,check,False
D100743,DON1288,2025-09-19,424.46,Alumni Fund,ach,True
D100839,DON1066,2026-07-11,467.45,Alumni Fund,ach,False
D101335,DON1272,2026-04-08,114.81,Year-End Giving,check,False
D101323,DON1191,2026-07-30,152.2,Corporate Match,ach,False
D101504,DON1228,2026-01-21,170.46,Corporate Match,credit_card,False
D101028,DON1219,2025-08-02,141.93,Gala 2025,check,False
D100441,DON1286,2026-07-23,404.71,Gala 2026,ach,True
D101451,DON1057,2026-04-28,46.25,Alumni Fund,paypal,False
D100415,DON1203,2026-07-12,432.78,Gala 2025,stock_transfer,False
D102319,DON1252,2025-02-28,183.57,Alumni Fund,stock_transfer,False
D101018,DON1216,2025-07-05,88.55,Year-End Giving,paypal,False
D102448,DON1146,2026-04-04,259.44,Alumni Fund,stock_transfer,False
D102037,DON1149,2026-04-18,11652.48,Alumni Fund,check,False
D101832,DON1109,2024-08-30,34.05,Gala 2025,stock_transfer,False
D102372,DON1015,2026-07-09,494.4,Corporate Match,check,False
D100299,DON1343,2025-01-19,347.24,Monthly Giving,credit_card,False
D101806,DON1033,2025-07-03,465.23,Monthly Giving,stock_transfer,False
D102276,DON1021,2025-05-28,465.63,Spring Appeal,stock_transfer,False
D101515,DON1216,2025-10-18,29.53,Corporate Match,paypal,False
D101286,DON1293,2025-06-27,71.83,Gala 2026,check,False
D100523,DON1275,2025-06-10,408.94,Corporate Match,credit_card,False
D101317,DON1211,2025-02-23,83.8,Gala 2025,stock_transfer,False
D100465,DON1214,2025-09-16,387.49,Corporate Match,stock_transfer,False
D100238,DON1106,2026-02-09,50.15,Alumni Fund,credit_card,False
D100110,DON1125,2025-08-22,345.18,Alumni Fund,credit_card,False
D100658,DON1040,2024-09-24,99.79,Spring Appeal,stock_transfer,False
D101870,DON1108,2025-07-19,40.02,Gala 2026,ach,False
D102270,DON1300,2025-07-13,74.69,Spring Appeal,credit_card,False
D100253,DON1357,2025-11-30,121.7,Gala 2025,paypal,False
D101201,DON1080,2025-03-01,494.69,Spring Appeal,paypal,False
D102203,DON1267,2025-08-27,263.19,Year-End Giving,check,False
D101918,DON1374,2025-09-27,68.65,Corporate Match,paypal,False
D100757,DON1154,2024-11-03,452.42,Alumni Fund,ach,False
D100679,DON1087,2026-02-08,175.93,Monthly Giving,paypal,True
D100472,DON1165,2025-10-25,387.14,Year-End Giving,check,False
D101886,DON1381,2025-05-17,50.49,Year-End Giving,paypal,False
D101019,DON1061,2024-09-23,401.91,Corporate Match,ach,False
D101889,DON1044,2026-03-16,337.39,Monthly Giving,paypal,False
D101124,DON1296,2025-11-04,201.3,Corporate Match,ach,False
D101833,DON1041,2025-01-22,292.91,Corporate Match,stock_transfer,False
D100368,DON1208,2025-04-12,19.12,Corporate Match,check,False
D101995,DON1094,2024-10-27,300.86,Year-End Giving,ach,False
D100762,DON1096,2026-06-10,491.27,Gala 2025,credit_card,False
D100618,DON1023,2025-05-07,386.62,Spring Appeal,paypal,False
D100528,DON1269,2026-06-25,394.62,Alumni Fund,ach,False
D101300,DON1032,2025-10-04,340.74,Gala 2026,paypal,False
D101453,DON1134,2026-06-08,347.89,Year-End Giving,credit_card,False
D101830,DON1014,2024-11-28,358.78,Alumni Fund,ach,False
D102303,DON1334,2026-05-05,65.09,Year-End Giving,ach,False
D100768,DON1079,2025-07-14,247.67,Spring Appeal,paypal,False
D101737,DON1209,2025-12-30,91.16,Year-End Giving,ach,False
D102144,DON1031,2026-05-26,273.06,Spring Appeal,paypal,False
D102053,DON1382,2025-03-20,197.47,Spring Appeal,ach,False
D100101,DON1300,2025-07-09,84.68,Gala 2025,ach,False
D100423,DON1277,2026-07-17,160.86,Gala 2026,check,True
D100262,DON1089,2026-03-16,10047.81,Alumni Fund,check,False
D100566,DON1143,2026-04-15,144.86,Gala 2025,credit_card,False
D102462,DON1330,2026-03-13,319.2,Year-End Giving,paypal,False
D102005,DON1020,2025-02-06,203.32,Spring Appeal,check,False
D100180,DON1135,2025-11-13,474.85,Gala 2026,stock_transfer,False
D101741,DON1260,2025-01-10,307.21,Gala 2025,ach,False
D101341,DON1357,2025-08-31,38.04,Monthly Giving,credit_card,False
D100671,DON1367,2025-06-09,451.81,Monthly Giving,credit_card,False
D102006,DON1168,2025-06-02,95.02,Monthly Giving,ach,False
D100842,DON1209,2026-08-02,238.63,Gala 2025,stock_transfer,False
D101801,DON1263,2026-06-22,454.58,Corporate Match,ach,False
D100292,DON1219,2025-02-27,381.52,Spring Appeal,credit_card,False
D100142,DON1265,2026-05-18,284.33,Gala 2026,ach,False
D101367,DON1371,2024-11-06,424.38,Gala 2025,credit_card,False
D101442,DON1203,2026-01-13,308.96,Year-End Giving,check,False
D101118,DON1342,2024-11-15,119.21,Gala 2026,stock_transfer,False
D100606,DON1390,2025-04-12,237.47,Corporate Match,ach,False
D101015,DON1080,2025-05-07,240.64,Gala 2025,check,False
D100945,DON1064,2025-12-26,296.97,Gala 2026,paypal,False
D100481,DON1096,2026-05-07,284.74,Corporate Match,credit_card,True
D101128,DON1196,2026-01-23,491.87,Corporate Match,check,True
D100355,DON1134,2024-08-24,241.33,Alumni Fund,ach,False
D102218,DON1154,2025-09-19,278.11,Year-End Giving,check,False
D101579,DON1317,2025-10-20,167.61,Spring Appeal,ach,False
D100248,DON1268,2026-05-21,83.32,Monthly Giving,stock_transfer,False
D102058,DON1072,2025-06-20,292.45,Gala 2025,ach,True
D101179,DON1306,2025-06-16,264.46,Corporate Match,credit_card,True
D101526,DON1135,2025-05-01,183.36,Year-End Giving,paypal,True
D101553,DON1343,2025-07-16,189.19,Year-End Giving,paypal,True
D101731,DON1062,2024-12-03,382.46,Spring Appeal,credit_card,False
D102095,DON1339,2025-09-12,21064.99,Corporate Match,check,True
D100030,DON1166,2024-09-29,474.27,Monthly Giving,check,False
D100510,DON1019,2026-06-21,293.27,Monthly Giving,check,False
D100862,DON1205,2025-10-30,187.78,Spring Appeal,check,True
D101382,DON1152,2024-12-15,10344.71,Gala 2025,check,False
D100583,DON1103,2024-08-28,251.11,Year-End Giving,stock_transfer,False
D101927,DON1200,2025-04-20,410.9,Alumni Fund,credit_card,False
D101221,DON1105,2025-11-29,12.57,Alumni Fund,paypal,False
D102014,DON1380,2025-12-07,319.76,Corporate Match,stock_transfer,False
D102115,DON1386,2026-03-29,43.39,Spring Appeal,stock_transfer,False
D100509,DON1143,2024-09-28,414.37,Spring Appeal,ach,True
D100451,DON1240,2025-01-12,283.43,Gala 2026,check,False
D100799,DON1322,2025-03-17,124.58,Gala 2025,check,False
D102152,DON1220,2026-05-17,149.75,Gala 2026,check,False
D101111,DON1097,2025-01-03,91.39,Gala 2026,ach,False
D100333,DON1021,2025-06-14,458.81,Spring Appeal,paypal,False
D101365,DON1047,2025-07-13,402.73,Gala 2026,paypal,True
D100638,DON1163,2024-11-27,191.14,Year-End Giving,stock_transfer,False
D100822,DON1059,2025-08-27,281.03,Spring Appeal,paypal,True
D102153,DON1040,2025-05-10,85.54,Corporate Match,paypal,False
D101977,DON1076,2024-11-03,20290.72,Gala 2026,stock_transfer,True
D102046,DON1155,2024-09-15,50.18,Monthly Giving,stock_transfer,False
D100354,DON1260,2026-01-29,293.66,Alumni Fund,stock_transfer,False
D101488,DON1094,2025-01-29,419.34,Year-End Giving,ach,False
D100209,DON1331,2025-12-11,453.49,Alumni Fund,check,True
D102437,DON1217,2024-10-31,414.51,Year-End Giving,credit_card,False
D102040,DON1342,2025-09-22,268.23,Gala 2026,credit_card,False
D101412,DON1004,2025-10-07,209.11,Monthly Giving,paypal,False
D101376,DON9327,2026-01-02,346.29,Spring Appeal,paypal,False
D101117,DON1255,2026-02-20,276.92,Corporate Match,paypal,False
D100696,DON1255,2026-07-16,176.37,Monthly Giving,check,False
D102345,DON1001,2026-05-09,237.49,Gala 2025,check,False
D101081,DON1332,2025-07-04,61.16,Gala 2025,stock_transfer,False
D101994,DON1064,2026-05-04,96.19,Corporate Match,check,False
D100533,DON1108,2025-05-11,145.56,Gala 2025,paypal,False
D101674,DON1364,2024-09-20,402.95,Spring Appeal,check,False
D102224,DON1352,2024-11-25,154.52,Gala 2026,paypal,True
D100200,DON1327,2025-08-30,288.23,Gala 2026,ach,False
D100230,DON1180,2026-05-14,10.63,Gala 2026,paypal,False
D101310,DON1377,2025-07-30,417.42,Alumni Fund,check,False
D100486,DON1278,2026-01-27,294.71,Corporate Match,ach,False
D100421,DON1140,2026-04-04,474.76,Monthly Giving,ach,False
D100870,DON1065,2026-02-13,444.06,Year-End Giving,credit_card,False
D101552,DON1314,2025-04-20,465.02,Monthly Giving,paypal,False
D101847,DON1141,2025-12-08,321.18,Year-End Giving,paypal,False
D100316,DON1161,2025-01-02,319.97,Year-End Giving,ach,False
D100431,DON1078,2026-01-13,215.92,Alumni Fund,paypal,False
D102429,DON1393,2026-03-18,205.07,Corporate Match,paypal,True
D100970,DON1338,2025-05-27,20.57,Gala 2026,check,False
D100070,DON1095,2025-07-30,468.55,Spring Appeal,check,False
D101447,DON1165,2025-02-04,283.45,Corporate Match,ach,False
D100388,DON1142,2025-11-14,203.62,Monthly Giving,ach,False
D101678,DON1328,2026-07-24,206.87,Gala 2026,check,False
D100782,DON1225,2025-04-30,380.32,Spring Appeal,stock_transfer,False
D101375,DON1055,2025-07-22,346.17,Spring Appeal,paypal,False
D101554,DON1184,2024-12-26,245.41,Alumni Fund,stock_transfer,True
D100669,DON1047,2025-07-07,145.91,Monthly Giving,check,False
D100232,DON1389,2025-04-10,46.12,Alumni Fund,credit_card,False
D101380,DON1363,2026-03-21,408.29,Corporate Match,paypal,False
D101945,DON1267,2025-06-22,380.94,Alumni Fund,check,False
D101260,DON1040,2026-08-12,191.97,Alumni Fund,paypal,True
D101551,DON1150,2026-05-07,299.15,Year-End Giving,credit_card,False
D101979,DON1338,2025-09-16,274.15,Gala 2026,credit_card,False
D102012,DON1398,2026-08-10,168.98,Alumni Fund,stock_transfer,False
D102293,DON1358,2025-10-23,463.39,Monthly Giving,check,False
D100446,DON1123,2024-09-14,483.91,Alumni Fund,paypal,True
D101337,DON1092,2025-09-21,238.38,Corporate Match,check,False
D101466,DON1162,2025-06-03,108.83,Year-End Giving,paypal,False
D102167,DON1162,2026-01-30,420.38,Spring Appeal,check,False
D100280,DON1258,2026-06-10,413.68,Gala 2025,check,False
D100487,DON1362,2026-07-17,220.73,Alumni Fund,ach,False
D100483,DON1257,2026-04-02,136.26,Gala 2026,credit_card,False
D100555,DON1344,2025-03-18,17967.78,Year-End Giving,paypal,False
D100479,DON1340,2025-03-06,433.5,Spring Appeal,check,False
D101989,DON1322,2024-09-27,309.11,Gala 2026,paypal,False
D100323,DON1148,2024-12-23,196.98,Gala 2026,check,False
D101012,DON1264,2026-04-16,236.9,Monthly Giving,paypal,True
D102132,DON1168,2025-02-05,247.9,Spring Appeal,credit_card,False
D100818,DON1132,2024-11-06,275.47,Gala 2025,ach,True
D100708,DON1143,2025-12-04,427.74,Corporate Match,paypal,False
