employee_id,week_ending_date,hours_logged,program_area
EMP1001,2024-09-27,17.3,Alumni Support
EMP1001,2024-09-20,17.9,Alumni Support
EMP1001,2024-09-13,17.1,College Access
EMP1001,2024-09-06,17.0,College Persistence
EMP1001,2024-08-30,17.2,Alumni Support
EMP1001,2024-08-23,20.1,College Persistence
EMP1002,2026-08-14,41.2,
EMP1002,2026-08-07,38.2,
EMP1002,2026-07-31,38.0,
EMP1002,2026-07-24,41.3,
EMP1002,2026-07-17,40.6,
EMP1002,2026-07-10,36.0,
EMP1002,2026-07-03,36.1,
EMP1002,2026-06-26,39.3,
EMP1002,2026-06-19,38.3,
EMP1002,2026-06-12,40.8,
EMP1002,2026-06-05,40.5,
EMP1002,2026-05-29,42.0,
EMP1002,2026-05-22,38.7,
EMP1002,2026-05-15,39.6,
EMP1002,2026-05-08,39.7,
EMP1002,2026-05-01,36.0,
EMP1002,2026-04-24,39.1,
EMP1002,2026-04-17,40.6,
EMP1002,2026-04-10,39.4,
EMP1002,2026-04-03,36.5,
EMP1002,2026-03-27,37.5,
EMP1002,2026-03-20,38.4,
EMP1002,2026-03-13,36.0,
EMP1002,2026-03-06,39.5,
EMP1002,2026-02-27,41.1,
EMP1002,2026-02-20,36.6,
EMP1002,2026-02-13,39.4,
EMP1002,2026-02-06,40.4,
EMP1002,2026-01-30,36.9,
EMP1002,2026-01-23,37.4,
EMP1002,2026-01-16,40.1,
EMP1002,2026-01-09,37.2,
EMP1002,2026-01-02,38.7,
EMP1002,2025-12-26,41.0,
EMP1002,2025-12-19,40.0,
EMP1002,2025-12-12,41.7,
EMP1002,2025-12-05,39.5,
EMP1002,2025-11-28,38.8,
EMP1002,2025-11-21,40.3,
EMP1002,2025-11-14,36.3,
EMP1002,2025-11-07,36.1,
EMP1002,2025-10-31,40.8,
EMP1002,2025-10-24,38.0,
EMP1002,2025-10-17,39.3,
EMP1002,2025-10-10,41.1,
EMP1002,2025-10-03,36.5,
EMP1002,2025-09-26,41.1,
EMP1002,2025-09-19,41.5,
EMP1002,2025-09-12,38.6,
EMP1002,2025-09-05,42.0,
EMP1002,2025-08-29,38.3,
EMP1002,2025-08-22,36.2,
EMP1002,2025-08-15,36.1,
EMP1002,2025-08-08,39.6,
EMP1002,2025-08-01,41.0,
EMP1002,2025-07-25,39.5,
EMP1002,2025-07-18,37.7,
EMP1002,2025-07-11,37.3,
EMP1002,2025-07-04,38.6,
EMP1002,2025-06-27,41.3,
EMP1002,2025-06-20,40.3,
EMP1002,2025-06-13,37.5,
EMP1002,2025-06-06,38.7,
EMP1002,2025-05-30,41.6,
EMP1002,2025-05-23,39.1,
EMP1002,2025-05-16,36.5,
EMP1002,2025-05-09,36.6,
EMP1002,2025-05-02,39.6,
EMP1002,2025-04-25,39.9,
EMP1002,2025-04-18,40.2,
EMP1002,2025-04-11,38.0,
EMP1002,2025-04-04,36.8,
EMP1002,2025-03-28,39.4,
EMP1002,2025-03-21,40.8,
EMP1002,2025-03-14,36.9,
EMP1002,2025-03-07,36.1,
EMP1002,2025-02-28,39.8,
EMP1002,2025-02-21,40.8,
EMP1002,2025-02-14,40.0,
EMP1002,2025-02-07,36.4,
EMP1002,2025-01-31,37.2,
EMP1002,2025-01-24,40.6,
EMP1002,2025-01-17,37.7,
EMP1002,2025-01-10,38.5,
EMP1002,2025-01-03,38.7,
EMP1002,2024-12-27,38.3,
EMP1002,2024-12-20,39.4,
EMP1002,2024-12-13,39.6,
EMP1002,2024-12-06,37.7,
EMP1002,2024-11-29,41.3,
EMP1002,2024-11-22,37.6,
EMP1002,2024-11-15,38.4,
EMP1002,2024-11-08,38.6,
EMP1002,2024-11-01,40.3,
EMP1002,2024-10-25,36.6,
EMP1002,2024-10-18,39.3,
EMP1002,2024-10-11,37.6,
EMP1002,2024-10-04,39.9,
EMP1002,2024-09-27,36.1,
EMP1002,2024-09-20,36.8,
EMP1002,2024-09-13,40.6,
EMP1002,2024-09-06,41.5,
EMP1002,2024-08-30,40.1,
EMP1002,2024-08-23,36.9,
EMP1003,2026-08-14,36.8,College Persistence
EMP1003,2026-08-07,39.1,Career Readiness
EMP1003,2026-07-31,41.8,College Persistence
EMP1003,2026-07-24,41.8,Alumni Support
EMP1003,2026-07-17,36.8,Career Readiness
EMP1003,2026-07-10,39.0,College Access
EMP1003,2026-07-03,39.0,Career Readiness
EMP1003,2026-06-26,41.4,Alumni Support
EMP1003,2026-06-19,37.4,Career Readiness
EMP1003,2026-06-12,39.8,College Persistence
EMP1003,2026-06-05,38.5,College Persistence
EMP1003,2026-05-29,41.7,College Persistence
EMP1003,2026-05-22,38.1,Alumni Support
EMP1003,2026-05-15,36.1,Career Readiness
EMP1003,2026-05-08,36.5,College Access
EMP1003,2026-05-01,42.0,College Persistence
EMP1003,2026-04-24,39.3,Career Readiness
EMP1003,2026-04-17,36.6,College Access
EMP1003,2026-04-10,40.1,College Access
EMP1003,2026-04-03,39.8,Career Readiness
EMP1003,2026-03-27,38.1,College Access
EMP1003,2026-03-20,37.7,Alumni Support
EMP1003,2026-03-13,36.7,College Access
EMP1003,2026-03-06,36.4,College Persistence
EMP1003,2026-02-27,37.3,Career Readiness
EMP1003,2026-02-20,38.6,College Access
EMP1003,2026-02-13,36.3,College Persistence
EMP1003,2026-02-06,39.4,College Persistence
EMP1003,2026-01-30,38.7,College Access
EMP1003,2026-01-23,36.5,College Persistence
EMP1003,2026-01-16,37.2,College Persistence
EMP1003,2026-01-09,39.4,Alumni Support
EMP1003,2026-01-02,36.4,College Access
EMP1003,2025-12-26,36.8,Career Readiness
EMP1003,2025-12-19,41.7,Career Readiness
EMP1003,2025-12-12,36.1,Alumni Support
EMP1003,2025-12-05,38.6,Career Readiness
EMP1003,2025-11-28,37.3,Career Readiness
EMP1003,2025-11-21,37.9,College Access
EMP1003,2025-11-14,41.8,Career Readiness
EMP1003,2025-11-07,39.9,College Persistence
EMP1003,2025-10-31,41.9,Alumni Support
EMP1003,2025-10-24,41.9,Career Readiness
EMP1003,2025-10-17,38.3,College Access
EMP1003,2025-10-10,36.6,College Access
EMP1003,2025-10-03,38.0,College Access
EMP1003,2025-09-26,38.2,College Persistence
EMP1003,2025-09-19,41.8,Career Readiness
EMP1003,2025-09-12,39.0,College Persistence
EMP1003,2025-09-05,37.6,Career Readiness
EMP1003,2025-08-29,39.4,Alumni Support
EMP1003,2025-08-22,36.5,Alumni Support
EMP1003,2025-08-15,39.2,College Persistence
EMP1003,2025-08-08,41.6,College Access
EMP1003,2025-08-01,40.5,College Persistence
EMP1003,2025-07-25,41.0,College Persistence
EMP1003,2025-07-18,38.4,College Access
EMP1003,2025-07-11,39.1,Alumni Support
EMP1003,2025-07-04,40.2,Alumni Support
EMP1003,2025-06-27,41.6,Alumni Support
EMP1003,2025-06-20,41.7,College Persistence
EMP1003,2025-06-13,37.7,College Access
EMP1003,2025-06-06,41.7,Alumni Support
EMP1003,2025-05-30,41.3,Alumni Support
EMP1003,2025-05-23,41.1,Alumni Support
EMP1003,2025-05-16,39.1,Career Readiness
EMP1003,2025-05-09,40.7,Career Readiness
EMP1003,2025-05-02,38.8,College Access
EMP1003,2025-04-25,40.0,College Access
EMP1003,2025-04-18,39.8,Career Readiness
EMP1003,2025-04-11,36.1,Alumni Support
EMP1003,2025-04-04,41.8,College Access
EMP1003,2025-03-28,40.8,Career Readiness
EMP1003,2025-03-21,39.0,Alumni Support
EMP1003,2025-03-14,42.0,College Persistence
EMP1003,2025-03-07,36.8,Career Readiness
EMP1003,2025-02-28,41.2,College Persistence
EMP1003,2025-02-21,37.8,Career Readiness
EMP1003,2025-02-14,40.4,Alumni Support
EMP1003,2025-02-07,39.3,College Access
EMP1003,2025-01-31,36.9,Career Readiness
EMP1003,2025-01-24,40.7,Alumni Support
EMP1003,2025-01-17,41.1,Career Readiness
EMP1003,2025-01-10,37.0,Career Readiness
EMP1003,2025-01-03,39.4,College Persistence
EMP1003,2024-12-27,36.1,Alumni Support
EMP1003,2024-12-20,40.0,Career Readiness
EMP1003,2024-12-13,40.8,College Access
EMP1003,2024-12-06,40.6,College Access
EMP1003,2024-11-29,40.0,Alumni Support
EMP1003,2024-11-22,40.6,College Access
EMP1003,2024-11-15,39.2,Alumni Support
EMP1003,2024-11-08,37.5,Alumni Support
EMP1003,2024-11-01,37.4,College Persistence
EMP1003,2024-10-25,38.0,Career Readiness
EMP1003,2024-10-18,39.0,College Persistence
EMP1003,2024-10-11,40.3,Career Readiness
EMP1003,2024-10-04,39.5,Alumni Support
EMP1003,2024-09-27,39.2,Alumni Support
EMP1003,2024-09-20,38.4,College Access
EMP1003,2024-09-13,38.1,College Access
EMP1003,2024-09-06,40.9,College Access
EMP1003,2024-08-30,37.1,College Persistence
EMP1003,2024-08-23,40.9,Career Readiness
EMP1004,2026-08-14,37.9,
EMP1004,2026-08-07,39.9,
EMP1004,2026-07-31,37.7,
EMP1004,2026-07-24,40.8,
EMP1004,2026-07-17,37.1,
EMP1004,2026-07-10,41.2,
EMP1004,2026-07-03,36.7,
EMP1004,2026-06-26,38.4,
EMP1004,2026-06-19,37.9,
EMP1004,2026-06-12,40.5,
EMP1004,2026-06-05,39.2,
EMP1004,2026-05-29,36.0,
EMP1004,2026-05-22,41.7,
EMP1004,2026-05-15,39.0,
EMP1004,2026-05-08,36.6,
EMP1004,2026-05-01,40.4,
EMP1004,2026-04-24,41.2,
EMP1004,2026-04-17,38.3,
EMP1004,2026-04-10,41.9,
EMP1004,2026-04-03,37.2,
EMP1004,2026-03-27,36.4,
EMP1004,2026-03-20,40.2,
EMP1004,2026-03-13,36.6,
EMP1004,2026-03-06,38.7,
EMP1004,2026-02-27,41.0,
EMP1004,2026-02-20,39.7,
EMP1004,2026-02-13,41.5,
EMP1004,2026-02-06,36.3,
EMP1004,2026-01-30,36.5,
EMP1004,2026-01-23,37.7,
EMP1004,2026-01-16,41.6,
EMP1004,2026-01-09,37.3,
EMP1004,2026-01-02,41.5,
EMP1004,2025-12-26,38.8,
EMP1004,2025-12-19,36.7,
EMP1004,2025-12-12,36.6,
EMP1004,2025-12-05,40.1,
EMP1004,2025-11-28,40.5,
EMP1004,2025-11-21,39.5,
EMP1004,2025-11-14,38.8,
EMP1004,2025-11-07,39.9,
EMP1004,2025-10-31,38.5,
EMP1004,2025-10-24,40.7,
EMP1004,2025-10-17,36.6,
EMP1004,2025-10-10,39.8,
EMP1004,2025-10-03,38.3,
EMP1004,2025-09-26,41.6,
EMP1004,2025-09-19,40.6,
EMP1004,2025-09-12,41.6,
EMP1004,2025-09-05,40.1,
EMP1004,2025-08-29,39.7,
EMP1004,2025-08-22,40.5,
EMP1004,2025-08-15,36.3,
EMP1004,2025-08-08,39.0,
EMP1004,2025-08-01,36.6,
EMP1005,2026-08-14,19.9,
EMP1005,2026-08-07,21.1,
EMP1005,2026-07-31,19.8,
EMP1005,2026-07-24,20.9,
EMP1005,2026-07-17,18.0,
EMP1005,2026-07-10,18.2,
EMP1005,2026-07-03,16.1,
EMP1005,2026-06-26,16.7,
EMP1005,2026-06-19,17.2,
EMP1005,2026-06-12,18.6,
EMP1005,2026-06-05,17.3,
EMP1005,2026-05-29,19.2,
EMP1005,2026-05-22,20.2,
EMP1005,2026-05-15,16.1,
EMP1005,2026-05-08,21.5,
EMP1005,2026-05-01,19.3,
EMP1005,2026-04-24,20.1,
EMP1005,2026-04-17,21.0,
EMP1005,2026-04-10,19.1,
EMP1005,2026-04-03,16.0,
EMP1005,2026-03-27,16.8,
EMP1005,2026-03-20,18.8,
EMP1005,2026-03-13,20.6,
EMP1005,2026-03-06,20.3,
EMP1005,2026-02-27,18.8,
EMP1005,2026-02-20,21.7,
EMP1005,2026-02-13,16.6,
EMP1005,2026-02-06,16.2,
EMP1005,2026-01-30,20.1,
EMP1005,2026-01-23,16.7,
EMP1005,2026-01-16,19.7,
EMP1005,2026-01-09,21.9,
EMP1005,2026-01-02,16.9,
EMP1005,2025-12-26,21.4,
EMP1005,2025-12-19,20.1,
EMP1005,2025-12-12,21.3,
EMP1005,2025-12-05,19.5,
EMP1005,2025-11-28,21.9,
EMP1005,2025-11-21,17.5,
EMP1005,2025-11-14,18.9,
EMP1005,2025-11-07,16.7,
EMP1005,2025-10-31,17.2,
EMP1005,2025-10-24,18.0,
EMP1005,2025-10-17,17.4,
EMP1005,2025-10-10,18.7,
EMP1005,2025-10-03,18.5,
EMP1005,2025-09-26,21.2,
EMP1005,2025-09-19,21.4,
EMP1005,2025-09-12,16.0,
EMP1005,2025-09-05,20.8,
EMP1005,2025-08-29,19.3,
EMP1005,2025-08-22,20.0,
EMP1005,2025-08-15,20.3,
EMP1005,2025-08-08,18.2,
EMP1005,2025-08-01,18.1,
EMP1005,2025-07-25,21.2,
EMP1005,2025-07-18,19.0,
EMP1005,2025-07-11,16.1,
EMP1005,2025-07-04,19.9,
EMP1005,2025-06-27,20.0,
EMP1005,2025-06-20,17.8,
EMP1005,2025-06-13,20.8,
EMP1005,2025-06-06,16.8,
EMP1005,2025-05-30,21.3,
EMP1005,2025-05-23,21.8,
EMP1005,2025-05-16,17.0,
EMP1005,2025-05-09,20.9,
EMP1005,2025-05-02,18.3,
EMP1005,2025-04-25,16.2,
EMP1005,2025-04-18,22.0,
EMP1005,2025-04-11,19.6,
EMP1005,2025-04-04,20.6,
EMP1005,2025-03-28,19.3,
EMP1005,2025-03-21,21.1,
EMP1005,2025-03-14,17.6,
EMP1005,2025-03-07,20.0,
EMP1005,2025-02-28,16.1,
EMP1005,2025-02-21,20.8,
EMP1005,2025-02-14,20.1,
EMP1005,2025-02-07,18.1,
EMP1005,2025-01-31,18.6,
EMP1005,2025-01-24,20.1,
EMP1005,2025-01-17,17.5,
EMP1005,2025-01-10,21.1,
EMP1005,2025-01-03,21.5,
EMP1005,2024-12-27,18.2,
EMP1005,2024-12-20,20.5,
EMP1005,2024-12-13,21.3,
EMP1005,2024-12-06,16.9,
EMP1005,2024-11-29,17.9,
EMP1005,2024-11-22,20.4,
EMP1005,2024-11-15,21.0,
EMP1005,2024-11-08,21.4,
EMP1005,2024-11-01,20.9,
EMP1005,2024-10-25,18.3,
EMP1005,2024-10-18,16.0,
EMP1005,2024-10-11,21.6,
EMP1005,2024-10-04,17.3,
EMP1005,2024-09-27,18.2,
EMP1005,2024-09-20,21.9,
EMP1005,2024-09-13,21.7,
EMP1005,2024-09-06,19.9,
EMP1005,2024-08-30,20.6,
EMP1005,2024-08-23,21.4,
EMP1006,2026-08-14,36.9,
EMP1006,2026-08-07,41.1,
EMP1006,2026-07-31,40.2,
EMP1006,2026-07-24,40.2,
EMP1006,2026-07-17,39.7,
EMP1006,2026-07-10,41.2,
EMP1006,2026-07-03,39.5,
EMP1006,2026-06-26,37.7,
EMP1006,2026-06-19,41.1,
EMP1006,2026-06-12,39.0,
EMP1006,2026-06-05,37.3,
EMP1006,2026-05-29,36.1,
EMP1006,2026-05-22,41.5,
EMP1006,2026-05-15,40.4,
EMP1006,2026-05-08,39.6,
EMP1006,2026-05-01,40.9,
EMP1006,2026-04-24,40.9,
EMP1006,2026-04-17,37.9,
EMP1006,2026-04-10,37.4,
EMP1006,2026-04-03,36.9,
EMP1006,2026-03-27,38.2,
EMP1006,2026-03-20,36.4,
EMP1006,2026-03-13,38.9,
EMP1006,2026-03-06,38.2,
EMP1006,2026-02-27,40.8,
EMP1006,2026-02-20,39.3,
EMP1006,2026-02-13,38.3,
EMP1006,2026-02-06,37.7,
EMP1006,2026-01-30,40.3,
EMP1006,2026-01-23,37.5,
EMP1006,2026-01-16,40.0,
EMP1006,2026-01-09,41.6,
EMP1006,2026-01-02,41.2,
EMP1006,2025-12-26,37.4,
EMP1006,2025-12-19,39.3,
EMP1006,2025-12-12,36.6,
EMP1006,2025-12-05,38.0,
EMP1006,2025-11-28,40.9,
EMP1006,2025-11-21,41.3,
EMP1006,2025-11-14,37.7,
EMP1006,2025-11-07,39.0,
EMP1006,2025-10-31,37.6,
EMP1006,2025-10-24,42.0,
EMP1006,2025-10-17,38.9,
EMP1006,2025-10-10,40.9,
EMP1006,2025-10-03,39.5,
EMP1006,2025-09-26,38.5,
EMP1006,2025-09-19,41.8,
EMP1006,2025-09-12,37.9,
EMP1006,2025-09-05,37.5,
EMP1006,2025-08-29,38.0,
EMP1006,2025-08-22,40.5,
EMP1006,2025-08-15,41.5,
EMP1006,2025-08-08,36.7,
EMP1006,2025-08-01,39.3,
EMP1006,2025-07-25,36.5,
EMP1006,2025-07-18,38.7,
EMP1006,2025-07-11,39.0,
EMP1006,2025-07-04,40.8,
EMP1006,2025-06-27,36.8,
EMP1006,2025-06-20,39.6,
EMP1006,2025-06-13,40.6,
EMP1006,2025-06-06,39.0,
EMP1006,2025-05-30,36.6,
EMP1006,2025-05-23,38.2,
EMP1006,2025-05-16,36.9,
EMP1006,2025-05-09,41.1,
EMP1006,2025-05-02,39.8,
EMP1006,2025-04-25,40.6,
EMP1006,2025-04-18,40.9,
EMP1006,2025-04-11,38.8,
EMP1006,2025-04-04,37.4,
EMP1006,2025-03-28,38.3,
EMP1006,2025-03-21,36.9,
EMP1006,2025-03-14,40.7,
EMP1006,2025-03-07,38.6,
EMP1006,2025-02-28,40.4,
EMP1006,2025-02-21,41.9,
EMP1006,2025-02-14,40.6,
EMP1006,2025-02-07,38.5,
EMP1006,2025-01-31,38.8,
EMP1006,2025-01-24,36.8,
EMP1006,2025-01-17,38.1,
EMP1006,2025-01-10,38.6,
EMP1006,2025-01-03,36.2,
EMP1006,2024-12-27,37.2,
EMP1006,2024-12-20,41.0,
EMP1006,2024-12-13,38.8,
EMP1006,2024-12-06,38.2,
EMP1006,2024-11-29,40.8,
EMP1006,2024-11-22,40.5,
EMP1006,2024-11-15,38.9,
EMP1006,2024-11-08,42.0,
EMP1006,2024-11-01,40.5,
EMP1006,2024-10-25,38.9,
EMP1006,2024-10-18,40.3,
EMP1006,2024-10-11,37.3,
EMP1006,2024-10-04,38.9,
EMP1006,2024-09-27,37.8,
EMP1006,2024-09-20,37.4,
EMP1006,2024-09-13,36.1,
EMP1006,2024-09-06,37.1,
EMP1006,2024-08-30,38.7,
EMP1006,2024-08-23,40.9,
EMP1007,2026-08-14,41.0,
EMP1007,2026-08-07,39.0,
EMP1007,2026-07-31,37.9,
EMP1007,2026-07-24,38.8,
EMP1007,2026-07-17,37.1,
EMP1007,2026-07-10,36.3,
EMP1007,2026-07-03,39.4,
EMP1007,2026-06-26,38.0,
EMP1007,2026-06-19,40.6,
EMP1007,2026-06-12,38.4,
EMP1007,2026-06-05,39.2,
EMP1007,2026-05-29,41.9,
EMP1007,2026-05-22,41.4,
EMP1007,2026-05-15,37.1,
EMP1007,2026-05-08,39.1,
EMP1007,2026-05-01,37.8,
EMP1007,2026-04-24,36.3,
EMP1007,2026-04-17,38.5,
EMP1007,2026-04-10,37.5,
EMP1007,2026-04-03,36.1,
EMP1007,2026-03-27,39.9,
EMP1007,2026-03-20,38.3,
EMP1007,2026-03-13,37.2,
EMP1007,2026-03-06,38.9,
EMP1007,2026-02-27,36.4,
EMP1007,2026-02-20,41.0,
EMP1007,2026-02-13,37.2,
EMP1007,2026-02-06,38.0,
EMP1007,2026-01-30,40.4,
EMP1007,2026-01-23,41.8,
EMP1007,2026-01-16,38.4,
EMP1007,2026-01-09,38.5,
EMP1007,2026-01-02,36.8,
EMP1007,2025-12-26,39.6,
EMP1007,2025-12-19,37.3,
EMP1007,2025-12-12,39.2,
EMP1007,2025-12-05,40.3,
EMP1007,2025-11-28,41.0,
EMP1007,2025-11-21,39.6,
EMP1007,2025-11-14,38.4,
EMP1007,2025-11-07,40.0,
EMP1007,2025-10-31,36.2,
EMP1007,2025-10-24,37.6,
EMP1007,2025-10-17,41.5,
EMP1007,2025-10-10,39.1,
EMP1007,2025-10-03,38.4,
EMP1007,2025-09-26,40.1,
EMP1007,2025-09-19,37.1,
EMP1007,2025-09-12,40.2,
EMP1007,2025-09-05,40.7,
EMP1007,2025-08-29,40.7,
EMP1007,2025-08-22,37.6,
EMP1007,2025-08-15,38.1,
EMP1007,2025-08-08,36.2,
EMP1007,2025-08-01,39.1,
EMP1007,2025-07-25,41.0,
EMP1007,2025-07-18,40.6,
EMP1007,2025-07-11,38.8,
EMP1007,2025-07-04,39.5,
EMP1007,2025-06-27,40.5,
EMP1007,2025-06-20,41.7,
EMP1007,2025-06-13,38.0,
EMP1007,2025-06-06,41.1,
EMP1007,2025-05-30,38.6,
EMP1007,2025-05-23,37.5,
EMP1007,2025-05-16,36.1,
EMP1007,2025-05-09,37.2,
EMP1007,2025-05-02,39.9,
EMP1007,2025-04-25,37.9,
EMP1007,2025-04-18,38.7,
EMP1007,2025-04-11,40.4,
EMP1007,2025-04-04,39.0,
EMP1007,2025-03-28,41.3,
EMP1007,2025-03-21,39.0,
EMP1007,2025-03-14,38.0,
EMP1007,2025-03-07,37.5,
EMP1007,2025-02-28,38.6,
EMP1007,2025-02-21,36.5,
EMP1007,2025-02-14,40.2,
EMP1007,2025-02-07,36.2,
EMP1007,2025-01-31,41.0,
EMP1007,2025-01-24,39.2,
EMP1007,2025-01-17,36.9,
EMP1007,2025-01-10,37.1,
EMP1007,2025-01-03,37.3,
EMP1007,2024-12-27,38.4,
EMP1007,2024-12-20,41.0,
EMP1007,2024-12-13,38.7,
EMP1007,2024-12-06,37.2,
EMP1007,2024-11-29,36.4,
EMP1007,2024-11-22,37.1,
EMP1007,2024-11-15,41.7,
EMP1007,2024-11-08,36.9,
EMP1007,2024-11-01,36.6,
EMP1007,2024-10-25,40.6,
EMP1007,2024-10-18,41.0,
EMP1007,2024-10-11,41.0,
EMP1007,2024-10-04,39.9,
EMP1007,2024-09-27,38.9,
EMP1007,2024-09-20,39.6,
EMP1007,2024-09-13,41.8,
EMP1007,2024-09-06,36.6,
EMP1007,2024-08-30,37.0,
EMP1007,2024-08-23,40.7,
EMP1008,2026-08-14,36.9,
EMP1008,2026-08-07,41.3,
EMP1008,2026-07-31,38.2,
EMP1008,2026-07-24,37.7,
EMP1008,2026-07-17,41.0,
EMP1008,2026-07-10,38.4,
EMP1008,2026-07-03,39.3,
EMP1008,2026-06-26,36.2,
EMP1008,2026-06-19,37.1,
EMP1008,2026-06-12,36.6,
EMP1008,2026-06-05,38.5,
EMP1008,2026-05-29,39.5,
EMP1008,2026-05-22,37.2,
EMP1008,2026-05-15,41.1,
EMP1008,2026-05-08,37.1,
EMP1008,2026-05-01,36.2,
EMP1008,2026-04-24,37.1,
EMP1008,2026-04-17,38.5,
EMP1008,2026-04-10,41.8,
EMP1008,2026-04-03,39.4,
EMP1008,2026-03-27,39.3,
EMP1008,2026-03-20,36.6,
EMP1008,2026-03-13,41.9,
EMP1008,2026-03-06,37.6,
EMP1008,2026-02-27,40.1,
EMP1008,2026-02-20,37.6,
EMP1008,2026-02-13,41.0,
EMP1008,2026-02-06,36.4,
EMP1008,2026-01-30,39.3,
EMP1008,2026-01-23,41.2,
EMP1008,2026-01-16,38.7,
EMP1008,2026-01-09,41.3,
EMP1008,2026-01-02,40.6,
EMP1008,2025-12-26,41.5,
EMP1008,2025-12-19,40.8,
EMP1008,2025-12-12,36.5,
EMP1008,2025-12-05,41.5,
EMP1008,2025-11-28,38.7,
